Endpoint,Method,Concurrency,Run,RPS,Throughput_MBs,AvgLatency_ms,P50_ms,P95_ms,P99_ms,MaxLatency_ms,Error_Pct,Timeout_Pct,CPU_Pct,EventLoopDelay_ms
/api/goals,GET,10,1,71.1,0.05,140.39,137,0,299,407,0,0,7.71,14.93
/api/goals,GET,10,2,70.74,0.05,141.12,140,0,180,196,0,0,6.25,15.21
/api/goals,GET,10,3,65.54,0.05,152.25,152,0,200,246,0,0,4.84,15.36
/api/portfolio,GET,10,1,59.37,0.04,168.62,155,0,404,592,0,0,5.42,15.42
/api/portfolio,GET,10,2,65,0.05,154.14,154,0,226,262,0,0,5.31,15.46
/api/portfolio,GET,10,3,62.34,0.05,160.28,157,0,242,306,0,0,4.06,15.44
/api/recommend,POST,10,1,57.47,0.04,174.13,170,0,269,357,0,0,3.8,15.39
/api/recommend,POST,10,2,55.67,0.04,179.51,177,0,270,299,0,0,3.44,15.43
/api/recommend,POST,10,3,54.67,0.04,183.14,178,0,262,320,0,0,4.01,15.49
/api/goals,GET,100,1,41.94,0.03,2305.36,2327,0,3323,3403,0,0,5.31,15.43
/api/goals,GET,100,2,42.24,0.03,2296.69,2219,0,3892,4104,0,0,4.27,15.53
/api/goals,GET,100,3,39.21,0.03,2480.43,2288,0,4609,4919,0,0,4.38,15.54
/api/portfolio,GET,100,1,40.57,0.03,2379.45,2435,0,2737,2806,0,0,3.65,15.54
/api/portfolio,GET,100,2,34.94,0.03,2763.33,2654,0,4852,5100,0,0,2.92,15.57
/api/portfolio,GET,100,3,33.5,0.02,2860.32,2723,0,4942,5240,0,0,3.49,15.57
/api/recommend,POST,100,1,29.3,0.02,3199.59,3289,0,4277,4411,0,0,3.49,15.46
/api/recommend,POST,100,2,24.1,0.02,3946.07,3669,0,7234,7355,0,0,3.54,15.58
/api/recommend,POST,100,3,25.4,0.02,3751.13,3615,0,6517,6783,0,0,2.71,15.53
/api/goals,GET,500,1,9.66,0.01,5167.37,5047,0,9838,9840,7937.5,277.5,72.5,33.41
/api/goals,GET,500,2,0,0,0,0,0,0,0,3416300,73600,101.82,102.52
/api/goals,GET,500,3,0,0,0,0,0,0,0,3619100,60800,101.82,103.79
/api/portfolio,GET,500,1,0,0,0,0,0,0,0,3636500,69400,100.47,98.81
/api/portfolio,GET,500,2,0,0,0,0,0,0,0,3444700,44800,101.09,109.07
/api/portfolio,GET,500,3,0,0,0,0,0,0,0,3435000,44800,104.22,109.99
/api/recommend,POST,500,1,0.14,0,9990.25,9990,0,9992,9992,869675,15950,101.72,75.67
/api/recommend,POST,500,2,0,0,0,0,0,0,0,3436200,51200,101.35,109.43
/api/recommend,POST,500,3,0,0,0,0,0,0,0,3630000,51200,101.87,104.25
